month,entity,account_category,amount,currency
2024-02,ParentCo,Opex:Sales,66413,USD
2024-02,ParentCo,Opex:R&D,48300,USD
2024-02,ParentCo,Opex:Admin,36225,USD
2024-02,EMEA,Revenue,164160,EUR
2024-02,EMEA,COGS,24624,EUR
2024-02,EMEA,Opex:Marketing,22982,EUR
2024-02,EMEA,Opex:Sales,14774,EUR
2024-02,EMEA,Opex:Admin,8208,EUR
2024-03,ParentCo,Revenue,624750,USD
2024-03,ParentCo,COGS,87465,USD
2024-03,ParentCo,Opex:Marketing,112455,USD
2024-03,ParentCo,Opex:Sales,68723,USD
2024-03,ParentCo,Opex:R&D,49980,USD
2024-03,ParentCo,Opex:Admin,37485,USD
2024-03,EMEA,Revenue,170640,EUR
2024-03,EMEA,COGS,25596,EUR
2024-03,EMEA,Opex:Marketing,23890,EUR
2024-03,EMEA,Opex:Sales,15358,EUR
2024-03,EMEA,Opex:Admin,8532,EUR
2024-04,ParentCo,Revenue,609000,USD
2024-04,ParentCo,COGS,85260,USD
2024-04,ParentCo,Opex:Marketing,109620,USD
2024-04,ParentCo,Opex:Sales,66990,USD
2024-04,ParentCo,Opex:R&D,48720,USD
2024-04,ParentCo,Opex:Admin,36540,USD
2024-04,EMEA,Revenue,174960,EUR
2024-04,EMEA,COGS,26244,EUR
2024-04,EMEA,Opex:Marketing,24494,EUR
2024-04,EMEA,Opex:Sales,15746,EUR
2024-04,EMEA,Opex:Admin,8748,EUR
2024-05,ParentCo,Revenue,645750,USD
2024-05,ParentCo,COGS,90405,USD
2024-05,ParentCo,Opex:Marketing,116235,USD
2024-05,ParentCo,Opex:Sales,71033,USD
2024-05,ParentCo,Opex:R&D,51660,USD
2024-05,ParentCo,Opex:Admin,38745,USD
2024-05,EMEA,Revenue,178200,EUR
2024-05,EMEA,COGS,26730,EUR
2024-05,EMEA,Opex:Marketing,24948,EUR
2024-05,EMEA,Opex:Sales,16038,EUR
2024-05,EMEA,Opex:Admin,8910,EUR
2024-06,ParentCo,Revenue,667750,USD
2024-06,ParentCo,COGS,93485,USD
2024-06,ParentCo,Opex:Marketing,120195,USD
2024-06,ParentCo,Opex:Sales,73453,USD
2024-06,ParentCo,Opex:R&D,53420,USD
2024-06,ParentCo,Opex:Admin,40065,USD
2024-06,EMEA,Revenue,185760,EUR
2024-06,EMEA,COGS,27864,EUR
2024-06,EMEA,Opex:Marketing,26006,EUR
2024-06,EMEA,Opex:Sales,16718,EUR
2024-06,EMEA,Opex:Admin,9288,EUR
2024-07,ParentCo,Revenue,651000,USD
2024-07,ParentCo,COGS,91140,USD
2024-07,ParentCo,Opex:Marketing,117180,USD
2024-07,ParentCo,Opex:Sales,71610,USD
2024-07,ParentCo,Opex:R&D,52080,USD
2024-07,ParentCo,Opex:Admin,39060,USD
2024-07,EMEA,Revenue,181440,EUR
2024-07,EMEA,COGS,27216,EUR
2024-07,EMEA,Opex:Marketing,25402,EUR
2024-07,EMEA,Opex:Sales,16330,EUR
2024-07,EMEA,Opex:Admin,9072,EUR
2024-08,ParentCo,Revenue,687750,USD
2024-08,ParentCo,COGS,96285,USD
2024-08,ParentCo,Opex:Marketing,123795,USD
2024-08,ParentCo,Opex:Sales,75653,USD
2024-08,ParentCo,Opex:R&D,55020,USD
2024-08,ParentCo,Opex:Admin,41265,USD
2024-08,EMEA,Revenue,192240,EUR
2024-08,EMEA,COGS,28836,EUR
2024-08,EMEA,Opex:Marketing,26914,EUR
2024-08,EMEA,Opex:Sales,17302,EUR
2024-08,EMEA,Opex:Admin,9612,EUR
2024-09,ParentCo,Revenue,672000,USD
2024-09,ParentCo,COGS,94080,USD
2024-09,ParentCo,Opex:Marketing,120960,USD
2024-09,ParentCo,Opex:Sales,73920,USD
2024-09,ParentCo,Opex:R&D,53760,USD
2024-09,ParentCo,Opex:Admin,40320,USD
2024-09,EMEA,Revenue,189000,EUR
2024-09,EMEA,COGS,28350,EUR
2024-09,EMEA,Opex:Marketing,26460,EUR
2024-09,EMEA,Opex:Sales,17010,EUR
2024-09,EMEA,Opex:Admin,9450,EUR
2024-10,ParentCo,Revenue,708750,USD
2024-10,ParentCo,COGS,99225,USD
2024-10,ParentCo,Opex:Marketing,127575,USD
2024-10,ParentCo,Opex:Sales,77963,USD
2024-10,ParentCo,Opex:R&D,56700,USD
2024-10,ParentCo,Opex:Admin,42525,USD
2024-10,EMEA,Revenue,196560,EUR
2024-10,EMEA,COGS,29484,EUR
2024-10,EMEA,Opex:Marketing,27518,EUR
2024-10,EMEA,Opex:Sales,17690,EUR
2024-10,EMEA,Opex:Admin,9828,EUR
2024-11,ParentCo,Revenue,719250,USD
2024-11,ParentCo,COGS,100695,USD
2024-11,ParentCo,Opex:Marketing,129465,USD
2024-11,ParentCo,Opex:Sales,79013,USD
2024-11,ParentCo,Opex:R&D,57540,USD
2024-11,ParentCo,Opex:Admin,43155,USD
2024-11,EMEA,Revenue,199800,EUR
2024-11,EMEA,COGS,29970,EUR
2024-11,EMEA,Opex:Marketing,27972,EUR
2024-11,EMEA,Opex:Sales,17982,EUR
2024-11,EMEA,Opex:Admin,9990,EUR
2024-12,ParentCo,Revenue,745500,USD
2024-12,ParentCo,COGS,104370,USD
2024-12,ParentCo,Opex:Marketing,134190,USD
2024-12,ParentCo,Opex:Sales,82005,USD
2024-12,ParentCo,Opex:R&D,59640,USD
2024-12,ParentCo,Opex:Admin,44730,USD
2024-12,EMEA,Revenue,207360,EUR
2024-12,EMEA,COGS,31104,EUR
2024-12,EMEA,Opex:Marketing,29030,EUR
2024-12,EMEA,Opex:Sales,18662,EUR
2024-12,EMEA,Opex:Admin,10368,EUR
2025-01,ParentCo,Revenue,729750,USD
2025-01,ParentCo,COGS,102165,USD
2025-01,ParentCo,Opex:Marketing,131355,USD
2025-01,ParentCo,Opex:Sales,80273,USD
2025-01,ParentCo,Opex:R&D,58380,USD
2025-01,ParentCo,Opex:Admin,43785,USD
2025-01,EMEA,Revenue,203040,EUR
2025-01,EMEA,COGS,30456,EUR
2025-01,EMEA,Opex:Marketing,28426,EUR
2025-01,EMEA,Opex:Sales,18274,EUR
2025-01,EMEA,Opex:Admin,10152,EUR
2025-02,ParentCo,Revenue,761250,USD
2025-02,ParentCo,COGS,106575,USD
2025-02,ParentCo,Opex:Marketing,137025,USD
2025-02,ParentCo,Opex:Sales,83738,USD
2025-02,ParentCo,Opex:R&D,60900,USD
2025-02,ParentCo,Opex:Admin,45675,USD
2025-02,EMEA,Revenue,210600,EUR
2025-02,EMEA,COGS,31590,EUR
2025-02,EMEA,Opex:Marketing,29484,EUR
2025-02,EMEA,Opex:Sales,18954,EUR
2025-02,EMEA,Opex:Admin,10530,EUR
2025-03,ParentCo,Revenue,784500,USD
2025-03,ParentCo,COGS,109830,USD
2025-03,ParentCo,Opex:Marketing,141210,USD
2025-03,ParentCo,Opex:Sales,86295,USD
2025-03,ParentCo,Opex:R&D,62760,USD
2025-03,ParentCo,Opex:Admin,47070,USD
2025-03,EMEA,Revenue,213840,EUR
2025-03,EMEA,COGS,32076,EUR
2025-03,EMEA,Opex:Marketing,29938,EUR
2025-03,EMEA,Opex:Sales,19246,EUR
2025-03,EMEA,Opex:Admin,10692,EUR
2025-04,ParentCo,Revenue,766500,USD
2025-04,ParentCo,COGS,107310,USD
2025-04,ParentCo,Opex:Marketing,137970,USD
2025-04,ParentCo,Opex:Sales,84315,USD
2025-04,ParentCo,Opex:R&D,61320,USD
2025-04,ParentCo,Opex:Admin,45990,USD
2025-04,EMEA,Revenue,218160,EUR
2025-04,EMEA,COGS,32724,EUR
2025-04,EMEA,Opex:Marketing,30542,EUR
2025-04,EMEA,Opex:Sales,19634,EUR
2025-04,EMEA,Opex:Admin,10908,EUR
2025-05,ParentCo,Revenue,803250,USD
2025-05,ParentCo,COGS,112455,USD
2025-05,ParentCo,Opex:Marketing,144585,USD
2025-05,ParentCo,Opex:Sales,88358,USD
2025-05,ParentCo,Opex:R&D,64260,USD
2025-05,ParentCo,Opex:Admin,48195,USD
2025-05,EMEA,Revenue,221400,EUR
2025-05,EMEA,COGS,33210,EUR
2025-05,EMEA,Opex:Marketing,31000,EUR
2025-05,EMEA,Opex:Sales,19926,EUR
2025-05,EMEA,Opex:Admin,11070,EUR
2025-06,ParentCo,Revenue,819000,USD
2025-06,ParentCo,COGS,114660,USD
2025-06,ParentCo,Opex:Marketing,147420,USD
2025-06,ParentCo,Opex:Sales,90090,USD
2025-06,ParentCo,Opex:R&D,65520,USD
2025-06,ParentCo,Opex:Admin,49140,USD
2025-06,EMEA,Revenue,228960,EUR
2025-06,EMEA,COGS,34344,EUR
2025-06,EMEA,Opex:Marketing,32054,EUR
2025-06,EMEA,Opex:Sales,20606,EUR
2025-06,EMEA,Opex:Admin,11448,EUR
2025-07,ParentCo,Revenue,803250,USD
2025-07,ParentCo,COGS,112455,USD
2025-07,ParentCo,Opex:Marketing,144585,USD
2025-07,ParentCo,Opex:Sales,88358,USD
2025-07,ParentCo,Opex:R&D,64260,USD
2025-07,ParentCo,Opex:Admin,48195,USD
2025-07,EMEA,Revenue,224640,EUR
2025-07,EMEA,COGS,33696,EUR
2025-07,EMEA,Opex:Marketing,31450,EUR
2025-07,EMEA,Opex:Sales,20218,EUR
2025-07,EMEA,Opex:Admin,11232,EUR
2025-08,ParentCo,Revenue,834750,USD
2025-08,ParentCo,COGS,116865,USD
2025-08,ParentCo,Opex:Marketing,150255,USD
2025-08,ParentCo,Opex:Sales,91823,USD
2025-08,ParentCo,Opex:R&D,66780,USD
2025-08,ParentCo,Opex:Admin,50085,USD
2025-08,EMEA,Revenue,235440,EUR
2025-08,EMEA,COGS,35316,EUR
2025-08,EMEA,Opex:Marketing,32962,EUR
2025-08,EMEA,Opex:Sales,21190,EUR
2025-08,EMEA,Opex:Admin,11772,EUR
2025-09,ParentCo,Revenue,819000,USD
2025-09,ParentCo,COGS,114660,USD
2025-09,ParentCo,Opex:Marketing,147420,USD
2025-09,ParentCo,Opex:Sales,90090,USD
2025-09,ParentCo,Opex:R&D,65520,USD
2025-09,ParentCo,Opex:Admin,49140,USD
2025-09,EMEA,Revenue,232200,EUR
2025-09,EMEA,COGS,34830,EUR
2025-09,EMEA,Opex:Marketing,32508,EUR
2025-09,EMEA,Opex:Sales,20898,EUR
2025-09,EMEA,Opex:Admin,11610,EUR
2025-10,ParentCo,Revenue,856250,USD
2025-10,ParentCo,COGS,119875,USD
2025-10,ParentCo,Opex:Marketing,154125,USD
2025-10,ParentCo,Opex:Sales,94188,USD
2025-10,ParentCo,Opex:R&D,68500,USD
2025-10,ParentCo,Opex:Admin,51375,USD
2025-10,EMEA,Revenue,243000,EUR
2025-10,EMEA,COGS,36450,EUR
2025-10,EMEA,Opex:Marketing,34020,EUR
2025-10,EMEA,Opex:Sales,21870,EUR
2025-10,EMEA,Opex:Admin,12150,EUR
2025-11,ParentCo,Revenue,866250,USD
2025-11,ParentCo,COGS,121275,USD
2025-11,ParentCo,Opex:Marketing,155925,USD
2025-11,ParentCo,Opex:Sales,95288,USD
2025-11,ParentCo,Opex:R&D,69300,USD
2025-11,ParentCo,Opex:Admin,51975,USD
2025-11,EMEA,Revenue,246240,EUR
2025-11,EMEA,COGS,36936,EUR
2025-11,EMEA,Opex:Marketing,34474,EUR
2025-11,EMEA,Opex:Sales,22162,EUR
2025-11,EMEA,Opex:Admin,12312,EUR
2025-12,ParentCo,Revenue,892500,USD
2025-12,ParentCo,COGS,124950,USD
2025-12,ParentCo,Opex:Marketing,160650,USD
2025-12,ParentCo,Opex:Sales,98175,USD
2025-12,ParentCo,Opex:R&D,71400,USD
2025-12,ParentCo,Opex:Admin,53550,USD
2025-12,EMEA,Revenue,253800,EUR
2025-12,EMEA,COGS,38070,EUR
2025-12,EMEA,Opex:Marketing,35532,EUR
2025-12,EMEA,Opex:Sales,22842,EUR
2025-12,EMEA,Opex:Admin,12690,EUR
